22.23	96606
22.24	97539
22.25	98470
22.26	99398
22.27	100326
22.28	101252
22.29	102186
22.30	103120
22.31	104057
22.32	104996
22.33	105937
22.34	106887
22.35	107832
22.36	108777
22.37	109727
22.38	110679
22.39	111638
22.40	112599
22.41	113566
22.42	114532
22.43	115521
22.44	116519
22.45	117521
22.46	118523
22.47	119536
22.48	120557
22.49	121591
22.50	122627
22.51	123668
22.52	124731
22.53	125804
22.54	126889
22.55	127988
22.56	129096
22.57	130205
22.58	131326
22.59	132456
22.60	133598
22.61	134746
22.62	135907
22.63	137078
22.64	138254
22.65	139442
22.66	140643
22.67	141847
22.68	143063
22.69	144284
22.70	145527
22.71	146788
22.72	148061
22.73	149342
22.74	150635
22.75	151943
22.76	153275
22.77	154614
22.78	155971
22.79	157344
22.80	158729
22.81	160137
22.82	161553
22.83	162996
22.84	164452
22.85	165919
22.86	167395
22.87	168884
22.88	170387
22.89	171902
22.90	173418
22.91	174942
22.92	176478
22.93	178028
22.94	179600
22.95	181175
22.96	182753
22.97	184338
22.98	185924
22.99	187522
23.00	189133
23.01	190747
23.02	192360
23.03	193977
23.04	195594
23.05	197211
23.06	198830
23.07	200451
23.08	202077
23.09	203720
23.10	205362
23.11	207019
23.12	208688
23.13	210363
23.14	212048
23.15	213736
23.16	215424
23.17	217124
23.18	218835
23.19	220552
23.20	222279
23.21	224008
23.22	225745
23.23	227488
23.24	229238
23.25	230992
23.26	232753
23.27	234518
23.28	236282
23.29	238050
23.30	239823
23.31	241596
23.32	243372
23.33	245148
23.34	246928
23.35	248710
23.36	250491
23.37	252277
23.38	254068
23.39	255856
23.40	257649
23.41	259454
23.42	261272
23.43	263090
23.44	264908
23.45	266726
23.46	268549
23.47	270371
23.48	272194
23.49	274014
23.50	275827
23.51	277635
23.52	279444
23.53	281264
23.54	283086
23.55	284912
23.56	286743
23.57	288577
23.58	290416
23.59	292261
23.60	294106
23.61	295950
23.62	297797
23.63	299650
23.64	301500
23.65	303352
23.66	305207
23.67	307063
23.68	308921
23.69	310782
23.70	312646
23.71	314511
23.72	316379
23.73	318248
23.74	320118
23.75	321994
23.76	323873
23.77	325752
23.78	327634
23.79	329526
23.80	331418
23.81	333306
23.82	335194
23.83	337080
23.84	338965
23.85	340856
23.86	342747
23.87	344642
23.88	346539
23.89	348436
23.90	350341
23.91	352246
23.92	354163
23.93	356094
23.94	358032
23.95	359970
23.96	361919
23.97	363867
23.98	365814
23.99	367759
24.00	369705
24.01	371645
24.02	373582
24.03	375529
24.04	377479
24.05	379429
24.06	381379
24.07	383328
24.08	385276
24.09	387231
24.10	389195
24.11	391181
24.12	393173
24.13	395174
24.14	397193
24.15	399219
24.16	401246
24.17	403274
24.18	405304
24.19	407334
24.20	409367
24.21	411401
24.22	413436
24.23	415471
24.24	417506
24.25	419545
24.26	421587
24.27	423629
24.28	425670
24.29	427711
24.30	429761
24.31	431809
24.32	433857
24.33	435907
24.34	437957
24.35	440006
24.36	442054
24.37	444096
24.38	446135
24.39	448173
24.40	450212
24.41	452253
24.42	454294
24.43	456330
24.44	458367
24.45	460417
24.46	462477
24.47	464544
24.48	466610
24.49	468676
24.50	470742
24.51	472808
24.52	474878
24.53	476949
24.54	479020
24.55	481100
24.56	483185
24.57	485271
24.58	487357
24.59	489448
24.60	491544
24.61	493640
24.62	495741
24.63	497852
24.64	499965
24.65	502076
24.66	504184
24.67	506295
24.68	508411
24.69	510529
24.70	512647
24.71	514765
24.72	516884
24.73	519006
24.74	521130
24.75	523254
24.76	525378
24.77	527502
24.78	529624
24.79	531746
24.80	533861
24.81	535969
24.82	538074
24.83	540182
24.84	542285
24.85	544391
24.86	546501
24.87	548613
24.88	550730
24.89	552853
24.90	554978
24.91	557105
24.92	559227
24.93	561348
24.94	563469
24.95	565593
24.96	567722
24.97	569855
24.98	571990
24.99	574124
25.00	576256
25.01	578389
25.02	580524
25.03	582658
25.04	584795
25.05	586931
25.06	589062
25.07	591193
25.08	593319
25.09	595443
25.10	597565
25.11	599691
25.12	601817
25.13	603953
25.14	606095
25.15	608235
25.16	610375
25.17	612518
25.18	614664
25.19	616823
25.20	618989
25.21	621147
25.22	623302
25.23	625459
25.24	627617
25.25	629774
25.26	631929
25.27	634090
25.28	636242
25.29	638394
25.30	640542
25.31	642681
25.32	644822
25.33	646966
25.34	649109
25.35	651255
25.36	653399
25.37	655540
25.38	657679
25.39	659818
25.40	661953
25.41	664082
25.42	666216
25.43	668350
25.44	670490
25.45	672638
25.46	674793
25.47	676952
25.48	679112
25.49	681273
25.50	683432
25.51	685593
25.52	687757
25.53	689916
25.54	692079
25.55	694243
25.56	696407
25.57	698571
25.58	700736
25.59	702897
25.60	705056
25.61	707207
25.62	709358
25.63	711504
25.64	713638
25.65	715778
25.66	717914
25.67	720046
25.68	722175
25.69	724300
25.70	726426
25.71	728551
25.72	730669
25.73	732787
25.74	734905
25.75	737025
25.76	739146
25.77	741268
25.78	743392
25.79	745512
25.80	747628
25.81	749744
25.82	751860
25.83	753974
25.84	756086
25.85	758191
25.86	760294
25.87	762395
25.88	764489
25.89	766581
25.90	768675
25.91	770773
25.92	772876
25.93	774979
25.94	777083
25.95	779188
25.96	781293
25.97	783401
25.98	785509
25.99	787621
26.00	789736
26.01	791851
26.02	793963
26.03	796075
26.04	798182
26.05	800285
26.06	802391
26.07	804498
26.08	806608
26.09	808718
26.10	810825
26.11	812932
26.12	815043
26.13	817155
26.14	819267
26.15	821375
26.16	823481
26.17	825587
26.18	827684
26.19	829778
26.20	831870
26.21	833965
26.22	836063
26.23	838162
26.24	840262
26.25	842363
26.26	844464
26.27	846567
26.28	848676
26.29	850790
26.30	852906
26.31	855026
26.32	857150
26.33	859274
26.34	861398
26.35	863521
26.36	865645
26.37	867766
26.38	869884
26.39	871997
26.40	874101
26.41	876209
26.42	878319
26.43	880428
26.44	882535
26.45	884643
26.46	886753
26.47	888861
26.48	890969
26.49	893078
26.50	895186
26.51	897297
26.52	899413
26.53	901535
26.54	903661
26.55	905790
26.56	907922
26.57	910055
26.58	912184
26.59	914312
26.60	916442
26.61	918575
26.62	920710
26.63	922836
26.64	924952
26.65	927077
26.66	929207
26.67	931334
26.68	933460
26.69	935587
26.70	937717
26.71	939855
26.72	941992
26.73	944126
26.74	946261
26.75	948394
26.76	950522
26.77	952648
26.78	954779
26.79	956917
26.80	959059
26.81	961201
26.82	963345
26.83	965485
26.84	967619
26.85	969753
26.86	971885
26.87	974017
26.88	976154
26.89	978297
26.90	980440
26.91	982583
26.92	984729
26.93	986890
26.94	989057
26.95	991224
26.96	993389
26.97	995554
26.98	997720
26.99	999890
27.00	1002054
27.01	1004214
27.02	1006374
27.03	1008531
27.04	1010688
27.05	1012847
27.06	1015002
27.07	1017157
27.08	1019315
27.09	1021478
27.10	1023647
27.11	1025822
27.12	1027997
27.13	1030172
27.14	1032348
27.15	1034528
27.16	1036710
27.17	1038892
